DRUG_NAME,n_samples,r2,rmse,mae,pearson,spearman
CCT245232,681,-0.7546407189137416,0.1620525476606862,0.1285383883788043,0.15666432668667074,0.15300727532452443
Tipifarnib,656,-0.7953001919110703,0.2563131888311562,0.19605445710263603,0.24139492531744167,0.21140880884914676
YK-4-279,583,-0.8119478799685587,0.1627987716999287,0.13371743180722848,0.22651647264120198,0.29121852186764136
BRD-K90370028,454,-0.814520451100345,0.06829964056546846,0.05689058434930314,0.21325571002899552,0.17468067437853468
CD-437,926,-0.8337895872848202,0.17155893585320833,0.1420464697264826,0.619535736587202,0.6493744994612338
GSK2636771,698,-0.8727831422139605,0.11365905759616328,0.09360181325629946,0.047148830655590175,0.021617997575726224
Compound 1541A,874,-0.8965774511400431,0.09305868264104837,0.07618325786055205,0.2207492998252449,0.16488831673687337
BRD-K13999467,920,-0.8994319941168116,0.08157447551154695,0.06885283506781673,0.33886185014582887,0.323837823296575
BRD-K49290616,245,-0.9341271213863529,0.07156998577644298,0.05424455251114551,0.02831209628560418,0.07603553093293453
JW-74,633,-0.9849769785072671,0.105448596914344,0.08944835983845605,0.20385287160008822,0.18848215638118612
carboplatin,946,-1.0432611698988028,0.09065907675687535,0.07306605374329372,0.3069364056878115,0.2817063436771785
FQI-2,961,-1.0840525743596827,0.19259770510826518,0.1637990665130111,0.6094167046674387,0.6654601780661221
bendamustine,837,-1.1069726184735362,0.12331076766457628,0.10674882073175064,0.4279720073818937,0.3872221122208101
BRD-K44224150,241,-1.1187753636643962,0.11118750714741034,0.09308003620595287,0.047192311341992844,0.11333373484136901
ciclosporin,902,-1.1462311040245963,0.1591873595131347,0.14102920480528466,0.2564352714261209,0.2767500180289054
entinostat,931,-1.2314444540264757,0.19944844596148342,0.16618885946899795,0.6167173596962606,0.606727944642688
belinostat,468,-1.2852803382424196,0.19880196122833263,0.1741331223477098,0.7181202716024244,0.655155232674871
VAF-347,616,-1.312528844825228,0.11447351830946843,0.09054925328913822,-0.28576802892090847,-0.2730453525680736
